What is the capital of France?,Paris
What is 2 + 2?,4
Who wrote Hamlet?,William Shakespeare
5*2=__,10
6*0=__,0
5+0=__,5
Question,Answer
What is the capital of France?,Paris
What is 2 + 2?,4
Who wrote Hamlet?,William Shakespeare
What is the chemical symbol for water?,H2O
Which planet is known as the Red Planet?,Mars
What is the largest mammal on Earth?,Blue whale
Who painted the Mona Lisa?,Leonardo da Vinci
What is the square root of 64?,8
In which year did World War II end?,1945
What is the powerhouse of the cell?,Mitochondria
What is the tallest mountain in the world?,Mount Everest
What is the main ingredient in guacamole?,Avocado
Who discovered gravity?,Isaac Newton
What is the freezing point of water in Celsius?,0
What is the smallest prime number?,2
Which gas do plants absorb from the atmosphere?,Carbon dioxide
What is the capital of Japan?,Tokyo
Who is the author of "To Kill a Mockingbird"?,Harper Lee
What is the formula for the area of a circle?,πr²
Which element has the atomic number 1?,Hydrogen
What is the longest river in the world?,The Nile
Who is the current president of the United States (as of 2023)?,Joe Biden
What is the process by which plants make food?,Photosynthesis
What is the largest ocean on Earth?,Pacific Ocean
Who is the lead singer of the band Queen?,Freddie Mercury
What is the value of π (pi) rounded to two decimal places?,3.14
What is the currency of Japan?,Yen
What is the boiling point of water in Fahrenheit?,212
What is the hardest natural substance on Earth?,Diamond
Who invented the telephone?,Alexander Graham Bell
What is the largest continent by land area?,Asia
What is the primary language spoken in Brazil?,Portuguese
Who is the Greek god of the sea?,Poseidon
What is the capital of Australia?,Canberra
What is the sum of the angles in a triangle?,180 degrees
What is the most abundant gas in the Earth's atmosphere?,Nitrogen
Who painted "Starry Night"?,Vincent van Gogh
What is the cube of 3?,27
What is the process of turning liquid into vapor called?,Evaporation
What is the largest country in the world by land area?,Russia
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
What is the SI unit of force?,Newton
What is the square of 12?,144
What is the largest desert in the world?,Sahara Desert
What is the national animal of India?,Tiger
Who is the creator of the Harry Potter series?,J.K. Rowling
What is the speed of light in a vacuum (in km/s)?,299792
What is the capital of Canada?,Ottawa
What is the largest organ in the human body?,Skin
Who is the author of "1984"?,George Orwell
What is the result of 5 factorial (5!)?,120
What is the study of fossils called?,Paleontology
What is the largest bird in the world?,Ostrich
What is the capital of Germany?,Berlin
What is the process of splitting an atom called?,Nuclear fission
What is the national flower of the United States?,Rose
What is the product of 7 and 8?,56
What is the densest planet in our solar system?,Earth
Who is the founder of Microsoft?,Bill Gates
What is the largest moon of Saturn?,Titan
What is the capital of China?,Beijing
What is the term for the fear of spiders?,Arachnophobia
What is the largest bone in the human body?,Femur
What is the national sport of Canada?,Ice hockey
What is the smallest country in the world by land area?,Vatican City
What is the process of converting sugar into energy in cells called?,Cellular respiration
What is the capital of South Africa?,Pretoria
Who is the author of "The Great Gatsby"?,F. Scott Fitzgerald
What is the result of 10 squared?,100
What is the name of the longest side of a right triangle?,Hypotenuse
What is the capital of Spain?,Madrid
What is the process of breaking down food into nutrients called?,Digestion
What is the largest island in the world?,Greenland
What is the sum of the first five prime numbers?,28
What is 15 - 7?,8
What is 6 multiplied by 9?,54
What is 100 divided by 25?,4
What is 3 squared plus 4 squared?,25
What is the result of 2 cubed?,8
What is 12 divided by 3?,4
What is 5 plus 7 minus 3?,9
What is 8 times 7?,56
What is half of 50?,25
What is 10 percent of 200?,20
What is 18 divided by 6?,3
What is the result of (2 + 3) x 4?,20
What is 7 squared?,49
What is 9 minus 4 plus 2?,7
What is 15 divided by 5?,3
What is 6 plus 6 times 2?,18
What is 100 minus 45?,55
What is 3 times 3 times 3?,27
What is the result of 12 divided by 4 plus 5?,8
What is 50 percent of 80?,40
What is 20 divided by 4?,5
What is 10 plus 15 minus 5?,20
What is 9 times 6?,54
What is 100 divided by 10?,10
What is 7 plus 8 minus 6?,9
What is 4 cubed?,64
What is half of 100?,50
What is 25 percent of 40?,10
What is 20 minus 12 plus 3?,11
What is 8 squared?,64
What is 30 divided by 6?,5
What is 12 plus 8 minus 4?,16
What is 9 times 9?,81
What is 50 divided by 10?,5
What is 2 plus 2 times 3?,8
What is 100 minus 75?,25